Tweet_Original,Tweet_Gerado
"RT @danieltuita: o cara é editor chefe 
procurou os salarios mas nao procurou os  cargos

é muita burrice porem mil likes dos bolsominion s…",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @professorigor: Eu vivi para ver a Globo citar  que uma de suas fontes de informação é o Super Pop da Luciana Gimenez!
#BolsonaroNoJorna…",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Os discursos inflamados continuam atraindo a atenção do público.
"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional",As hashtags políticas dominam o Twitter durante a eleição.
RT @SimoneRJ_BR: #BolsonaroNoJornalNacional MITADA HISTÓRICA EM CIMA DE BONNER E TODA GLOBO:👇 https://t.co/vuzW97yP5X,Programas humorísticos também satirizam o clima tenso das eleições.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os debates mostram o quanto a polarização está forte neste ano.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @GarotaCiume: “candidato, o senhor está falando merda candidato” 
#BolsonaroNoJornalNacional https://t.co/mRXgwCezIz",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
RT @jooseeanee: a Renata depois dessa entrevista #BolsonaroNoJornalNacional https://t.co/k1HG3s7qZs,As fake news continuam circulando em ritmo acelerado nas redes.
"RT @mjcosta_: ""Candidato não mostre o livro"". Ué, mas não é para CRIANÇAS? 

#BolsonaroNoJornalNacional",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @realpfigueiredo: Sou o maior defensor de um JB moderado, mas esse negócio de dizer que ele falou apenas para a própria base no JN não t…",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @lsentoes: A turminha do lacre tá toda nervosinha, mas pergunta pro papai trabalhador em quem ele vai votar. #BolsonaroNoJornalNacional",Programas humorísticos também satirizam o clima tenso das eleições.
RT @MarizFigueiredo: Um breve resumo da entrevista do #BolsonaroNoJornalNacional #Bolsonaro #bolsolixo https://t.co/FKnYdQCW1T,Os debates mostram o quanto a polarização está forte neste ano.
"RT @mahbaydoun: ooh mãezinha por que me tiraste do teu ventre pra ver o Bolsonaro fora do manicômio 

#BolsonaroNoJornalNacional https://t.…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @rcp01: Globo Lixo.
Bolsonaro 17 #BolsonaroNoJornalNacional https://t.co/2073mkIhoh",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",As alianças políticas seguem mudando o rumo das eleições.
#BolsonaroNoJornalNacional Só Bolsonaro tem coragem para enfrentar o sistema globo corrupto de televisão. Lula semp… https://t.co/zqjneU9QnY,As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @bchartsnet: Agora é só esperar os bolsominions fingirem que ele ""mitou"" e arrasou depois de ter sido pisado pela Renata, só gritado e n…",Programas humorísticos também satirizam o clima tenso das eleições.
RT @mffernandab: “o meu salário não diz respeito a ninguém e eu garanto ao senhor que eu como mulher jamais aceitaria receber um salário me…,A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @allantercalivre: Sou amigo da pessoa que jogou na cara do Willian Bonner, ao vivo, no Jornal Nacional, que a Globo vive boa parte do di…",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @swtcmilas: renata vasconcellos comendo o cu do bolsonaro sem dó appreciatiom tweet
em breve no xvideos #BolsonaroNoJornalNacional https…",Promessas e ataques tomam conta dos programas eleitorais na TV.
