prompts,language,final prompt,poem_generator
write a poetry about sea, in portuguese,write a poetry about sea in portuguese,"Ondas de Azul

Vasto mar, infinito e profundo,
Teu azul abraça todo o mundo
Sussurros de espuma a dançar,
Segredos antigos a murmurar

Marés que chegam, marés que vão
Trazendo vida em cada canção
Ondas que beijam a areia macia
Pintando o horizonte de alegria

Sal e mistério em teu movimento
Águas que contam cada momento
Azul que brilha sob o sol ardente
Força selvagem, calma presente

Oceano imenso de histórias sem fim
Teu abraço me envolve, me faz sentir
Águas que dançam com luz e emoção
Meu coração navega em tua extensão

Profundo azul, silencioso e forte
Guardião de vida, senhor da sorte
Mar que me encanta, mar que me chama
Infinito que brilha e que me inflama"
write a poetry about sun, in portuguese,write a poetry about sun in portuguese,"Sol, ó rei dourado que brilha no céu,
Teu calor abraça a terra com amor,
Tuas ondas de luz, um ardente véu,
Pintando o mundo com teu resplendor.

Teus raios dançam sobre mar e chão,
Aquecendo a vida com teu fulgor,
Iluminando cada verde plantação,
Derramando sobre tudo teu esplendor.

És fonte de energia, és pura luz,
Transformando sombras em claridade,
Teu poder sublime tudo conduz,
Revelando a mais profunda verdade.

Astro majestoso de infinita grandeza,
Que riges os ciclos, a força e a beleza."
write a poetry about moon, in portuguese,write a poetry about moon in portuguese,"Lua prateada, silente guardião
Que banha a noite com suave clarão
Teu rosto pálido, tão manso e sereno
Ilumina segredos do eterno terreno

Disco de prata no céu profundo
Testemunha silente de cada segundo
Tuas crateras contam histórias antigas
De sonhos, mistérios e memórias vagas

Tua luz macia, teu brilho discreto
Abraça a terra num gentil afeto
Navegas sozinha no azul infinito
Trazendo poesia a cada distrito

Ó lua, companheira das almas errantes
Dos poetas, dos sonhos, dos amantes
Teu ciclo perfeito, tua dança serena
Encanta a noite, acalenta a pena"
write a poetry about flowers, in portuguese,write a poetry about flowers in portuguese,"Flores, cores da alma

Pétalas de amor e graça,
Perfumam o jardim da vida,
Rosas, margaridas, orquídeas
Em dança suave e florida.

Cores que pintam o mundo,
Amarelo, roxo e vermelho,
Cada flor conta uma história
De beleza sem aparelho.

Girassóis voltados ao sol,
Lírios brancos de pureza,
Flores que nascem do chão
Com delicada leveza.

Primavera em cada abraço,
Natureza em plena emoção,
Flores que tocam o peito
Com sua pura expressão.

Jardins cheios de segredos,
Pétalas ao vento a voar,
Flores, poesia silente
Que fazem o mundo sonhar."
write a poetry about house, in portuguese,write a poetry about house in portuguese,"Lar de Sonhos

Paredes que abraçam memórias,
Janelas que contam histórias,
Portas que se abrem ao afeto,
Meu lar, meu doce projeto.

Cômodos cheios de vida e cor,
Cantos que guardam cada amor,
Chão que sustenta nossos passos,
Teto que protege em seus braços.

Móveis antigos, retratos na parede,
Silêncio que fala, segredo que não cede,
Cozinha onde o café ferve com calma,
Quartos que guardam o pulsar da alma.

Casa que não é só tijolo e concreto,
Mas sentimento profundo e completo,
Refúgio de risos, de choro e de paz,
Meu lar, meu mundo, meu lugar capaz."
write a poetry about rain, in portuguese,write a poetry about rain in portuguese,"Lágrimas do Céu

Gotas que dançam na vidraça,
Suave melodia que abraça
A terra seca e sedenta
Chuva que desce, lenta

Sussurros de água a cair
Molhando o chão com seu sorrir
Nuvens cinzentas se abrindo
O mundo inteiro se rendindo

Cheiro de terra molhada
Frescor de chuva esperada
Pingos que tocam o chão
Trazendo vida e emoção

Cortina líquida e pura
Lavando a dor e a amargura
Chuva que cai, mansa e serena
Curando a alma, sendo plena

Música de água a descer
Rhythm que faz tudo florescer
Chuva, poesia líquida e mansa
Que limpa, renova e cansa"
write a poetry about stars, in portuguese,write a poetry about stars in portuguese,"Estrelas de Luz

Na noite escura, brilham sem cessar
Pontos de luz que fazem o céu bailar
Diamantes soltos no manto azul profundo
Segredos antigos de um infinito mundo

Cintilam suaves com seu brilho distante
Contando histórias de um tempo elegante
Cada estrela um sonho, cada ponto uma luz
Que no universo silencioso se traduz

Constelações pintam seu desenho mágico
Um quadro celeste, um cenário fantástico
Guardiãs da noite, viajantes do tempo
Navegam sozinhas em seu eterno momento

Estrelas que contam histórias sem fim
Que brilham tão longe, tão perto de mim
Mistério e beleza em seu fulgor sereno
Um canto de luz no espaço ameno"
write a poetry about dream, in portuguese,write a poetry about dream in portuguese,"Sonho Etéreo

No silêncio da noite escura,
Meu sonho voa sem fronteira,
Imagens flutuam com ternura,
Numa dança leve e ligeira.

Cores que se misturam suaves,
Pensamentos soltos no ar,
Como pássaros sem suas chaves,
Prontos para longe voar.

Realidade se desmancha,
Imaginação se expande,
Meu ser por completo se lança
Num mundo onde tudo é grande.

Fragmentos de esperança pura,
Pedaços de amor e desejo,
Meu sonho quebra cada atadura,
E me liberta do que vejo.

Na neblina do inconsciente,
Danço com minhas fantasias,
Sou livre, sou puro, sou valente,
Vivendo fugazes alegrias."
write a poetry about music, in portuguese,write a poetry about music in portuguese,"Melodia da Alma

Notas que dançam no ar,
Ritmos que fazem vibrar,
Sons que contam histórias,
Música, arte de memórias.

Cordas que tocam suave,
Percussão que o peito atraia,
Vozes que ecoam sentir,
Harmonias a nos unir.

Compassos de emoção pura,
Melodias sem censura,
Cada nota, um sentimento,
Música, meu acalento.

Do samba à bossa, ao rock,
Diferentes tons num só floco,
Universo de emoções,
Música, raiz dos corações.

Vibram cordas, vozes, tons,
Música, fonte de paixões,
Alma que se expressa inteira,
Em cada nota, verdadeira."
write a poetry about art, in portuguese,write a poetry about art in portuguese,"Cores que dançam na tela,
Pincel que traça a alma inteira,
Arte que liberta e revela
A expressão mais verdadeira

Traços que contam histórias,
Sentimentos em aquarela,
Cada obra guarda memórias
De uma emoção singela

Escultura que se ergue altiva,
Música que ecoa no ar,
Poesia sempre expressiva
Fazendo o mundo sonhar

No branco, no preto, no tom,
No gesto, no som, no silêncio,
A arte pulsa como um bom
Respiro do nosso imenso

Universo de criação,
Onde a beleza se desenha,
Onde cada imperfeição
É uma sublime resenha

Da alma que pulsa e transpira,
Que sangra, que sonha, que voa,
Onde o artista sempre aspira
Transformar sua pessoa."
write a poetry about friendship, in portuguese,write a poetry about friendship in portuguese,"Laços de Amizade

No tecido da vida, entreteço
Fios de afeto, de amor sincero
Amigos que escolho, com quem compartilho
Momentos de riso, de dor e de esperança

Mãos dadas, corações unidos
Segredos guardados, sorrisos partilhados
Na jornada da vida, lado a lado
Construímos uma ponte de confiança

Não importa a distância, nem o tempo
Nossa amizade resiste, firme e forte
Nos abraçamos nas alegrias e tristezas
Nosso vínculo é mais que simples palavras

Amigos são família que escolhemos
Companheiros de alma, de caminhada
Cada encontro, cada conversa
Renovam a magia deste sentimento

Verdadeira amizade não tem fronteiras
Transcende o comum, o esperado
É um presente raro e precioso
Que cultivo com carinho e gratidão"
