prompts,language,final prompt
write a poetry about sea, in portuguese,write a poetry about sea in portuguese
write a poetry about sun, in portuguese,write a poetry about sun in portuguese
write a poetry about moon, in portuguese,write a poetry about moon in portuguese
write a poetry about flowers, in portuguese,write a poetry about flowers in portuguese
write a poetry about house, in portuguese,write a poetry about house in portuguese
write a poetry about rain, in portuguese,write a poetry about rain in portuguese
write a poetry about stars, in portuguese,write a poetry about stars in portuguese
write a poetry about dream, in portuguese,write a poetry about dream in portuguese
write a poetry about music, in portuguese,write a poetry about music in portuguese
write a poetry about art, in portuguese,write a poetry about art in portuguese
write a poetry about friendship, in portuguese,write a poetry about friendship in portuguese
write a poetry about family, in portuguese,write a poetry about family in portuguese
write a poetry about nature, in portuguese,write a poetry about nature in portuguese
write a poetry about winter, in portuguese,write a poetry about winter in portuguese
write a poetry about summer, in portuguese,write a poetry about summer in portuguese
write a poetry about autumn, in portuguese,write a poetry about autumn in portuguese
write a poetry about spring, in portuguese,write a poetry about spring in portuguese
write a poetry about joy, in portuguese,write a poetry about joy in portuguese
write a poetry about sorrow, in portuguese,write a poetry about sorrow in portuguese
write a poetry about hope, in portuguese,write a poetry about hope in portuguese
write a poetry about fear, in portuguese,write a poetry about fear in portuguese
write a poetry about anger, in portuguese,write a poetry about anger in portuguese
write a poetry about peace, in portuguese,write a poetry about peace in portuguese
write a poetry about war, in portuguese,write a poetry about war in portuguese
write a poetry about life, in portuguese,write a poetry about life in portuguese
write a poetry about death, in portuguese,write a poetry about death in portuguese
write a poetry about birth, in portuguese,write a poetry about birth in portuguese
write a poetry about time, in portuguese,write a poetry about time in portuguese
write a poetry about space, in portuguese,write a poetry about space in portuguese
write a poetry about light, in portuguese,write a poetry about light in portuguese
write a poetry about darkness, in portuguese,write a poetry about darkness in portuguese
write a poetry about fire, in portuguese,write a poetry about fire in portuguese
write a poetry about water, in portuguese,write a poetry about water in portuguese
write a poetry about earth, in portuguese,write a poetry about earth in portuguese
write a poetry about air, in portuguese,write a poetry about air in portuguese
write a poetry about wind, in portuguese,write a poetry about wind in portuguese
write a poetry about storm, in portuguese,write a poetry about storm in portuguese
write a poetry about cloud, in portuguese,write a poetry about cloud in portuguese
write a poetry about snow, in portuguese,write a poetry about snow in portuguese
write a poetry about ice, in portuguese,write a poetry about ice in portuguese
write a poetry about mountain, in portuguese,write a poetry about mountain in portuguese
write a poetry about river, in portuguese,write a poetry about river in portuguese
write a poetry about lake, in portuguese,write a poetry about lake in portuguese
write a poetry about ocean, in portuguese,write a poetry about ocean in portuguese
write a poetry about forest, in portuguese,write a poetry about forest in portuguese
write a poetry about city, in portuguese,write a poetry about city in portuguese
write a poetry about country, in portuguese,write a poetry about country in portuguese
write a poetry about travel, in portuguese,write a poetry about travel in portuguese
write a poetry about adventure, in portuguese,write a poetry about adventure in portuguese
write a poetry about history, in portuguese,write a poetry about history in portuguese
write a poetry about mystery, in portuguese,write a poetry about mystery in portuguese
write a poetry about fantasy, in portuguese,write a poetry about fantasy in portuguese
write a poetry about science, in portuguese,write a poetry about science in portuguese
write a poetry about magic, in portuguese,write a poetry about magic in portuguese
write a poetry about fairy, in portuguese,write a poetry about fairy in portuguese
write a poetry about dragon, in portuguese,write a poetry about dragon in portuguese
write a poetry about hero, in portuguese,write a poetry about hero in portuguese
write a poetry about villain, in portuguese,write a poetry about villain in portuguese
write a poetry about love, in portuguese,write a poetry about love in portuguese
write a poetry about hate, in portuguese,write a poetry about hate in portuguese
write a poetry about courage, in portuguese,write a poetry about courage in portuguese
write a poetry about wisdom, in portuguese,write a poetry about wisdom in portuguese
write a poetry about beauty, in portuguese,write a poetry about beauty in portuguese
write a poetry about ugliness, in portuguese,write a poetry about ugliness in portuguese
write a poetry about truth, in portuguese,write a poetry about truth in portuguese
write a poetry about lie, in portuguese,write a poetry about lie in portuguese
write a poetry about faith, in portuguese,write a poetry about faith in portuguese
write a poetry about doubt, in portuguese,write a poetry about doubt in portuguese
write a poetry about freedom, in portuguese,write a poetry about freedom in portuguese
write a poetry about memory, in portuguese,write a poetry about memory in portuguese
write a poetry about imagination, in portuguese,write a poetry about imagination in portuguese
write a poetry about childhood, in portuguese,write a poetry about childhood in portuguese
write a poetry about aging, in portuguese,write a poetry about aging in portuguese
write a poetry about change, in portuguese,write a poetry about change in portuguese
write a poetry about growth, in portuguese,write a poetry about growth in portuguese
write a poetry about learning, in portuguese,write a poetry about learning in portuguese
write a poetry about teaching, in portuguese,write a poetry about teaching in portuguese
write a poetry about healing, in portuguese,write a poetry about healing in portuguese
write a poetry about pain, in portuguese,write a poetry about pain in portuguese
write a poetry about happiness, in portuguese,write a poetry about happiness in portuguese
write a poetry about sadness, in portuguese,write a poetry about sadness in portuguese
write a poetry about laughter, in portuguese,write a poetry about laughter in portuguese
write a poetry about tears, in portuguese,write a poetry about tears in portuguese
write a poetry about silence, in portuguese,write a poetry about silence in portuguese
write a poetry about noise, in portuguese,write a poetry about noise in portuguese
write a poetry about harmony, in portuguese,write a poetry about harmony in portuguese
write a poetry about chaos, in portuguese,write a poetry about chaos in portuguese
write a poetry about balance, in portuguese,write a poetry about balance in portuguese
write a poetry about contrast, in portuguese,write a poetry about contrast in portuguese
write a poetry about color, in portuguese,write a poetry about color in portuguese
write a poetry about shape, in portuguese,write a poetry about shape in portuguese
